,AN1,AN2,AND,ANd,Rc1,Rc2,RcD,Rcd,Vmc,Rm1,Rm2,RmD,Rmd,Vmm,AW1,AW2,AWD,AWd,D1,D2,DD,Dd,Eea1,Eea2,EeaD,Eead,XM1,XM2,XMD,XMd,XP1,XP2,XPD,XPd,Gp1,Gp2,GpD,Gpd,Hf1,Hf2,HfD,Hfd,I11,I12,I1D,I1d,I21,I22,I2D,I2d,LP1,LP2,LPD,LPd,Tm1,Tm2,TmD,Tmd,P1,P2,PD,Pd,Cp1,Cp2,CpD,Cpd,K1,K2,KD,Kd,VEC1,VEC2,VECD,VECd,Tb1,Tb2,TbD,Tbd,sVEC1,pVEC1,dVEC1,fs,fp,fd,W1,W2,WD,Wd,Hmix,Smix/R,Smix/kb,PHSmis,PHSmix,PHSS,Phase
0,32.9,27.8201,11.8191,0.3592,0.129,0.1278,0.0119,0.0924,0.0092,0.127,0.1259,0.0115,0.0908,0.0088,73.6959,60.0942,29.0998,0.3949,8.81,5.8602,3.5948,0.408,0.8607,0.7642,0.2988,0.3472,1.923,1.9092,0.1738,0.0904,2.079,2.0687,0.1442,0.0694,11.3,11.0368,1.9,0.1681,12.8334,2.8101,6.3957,0.4984,8.514,8.4055,1.0265,0.1206,19.61,19.5904,0.6108,0.0311,412.8861,16.5209,798.7249,1.9345,1374.836,886.6449,564.2579,0.4104,4.2,4.0541,0.7483,0.1782,25.0958,25.0613,0.9274,0.037,158.137,1.1648,161.6099,1.022,9.3,8.5271,2.1932,0.2358,2574.25,1606.7623,1024.7324,0.3981,0.9,0.6,7.8,0.0968,0.0645,0.8387,4.945,4.9392,0.168,0.034,-24.88,1.2799,0.1717,-31.8428,-4.272,-5.4676,0
1,26.841,12.3909,13.8808,0.5172,0.1447,0.1367,0.0317,0.2194,0.0145,0.14,0.1372,0.0196,0.1399,0.0122,60.0303,27.7498,31.7597,0.5291,5.7343,4.1559,2.482,0.4328,0.3467,0.3993,0.5823,1.6794,1.6809,1.6516,0.2272,0.1352,1.5422,1.5132,0.2197,0.1424,5.025,3.6851,3.0942,0.6158,15.2181,14.9129,2.0778,0.1365,7.5027,7.3681,1.0614,0.1415,15.7473,15.2706,2.8174,0.1789,32.5608,21.9776,17.2805,0.5307,1838.2465,1789.4458,289.0636,0.1572,3.962,3.5008,1.1448,0.2889,23.2683,22.5292,3.6992,0.159,116.5696,37.0502,128.8906,1.1057,5.025,3.6851,3.0942,0.6158,3710.339,3517.6116,852.26,0.2297,1.875,0.0,3.15,0.3731,0.0,0.6269,4.4593,4.406,0.4964,0.1113,-35.1966,1.4645,0.4074,-51.5438,-14.3395,-20.9996,0
2,31.7848,18.531,12.5687,0.3954,0.1484,0.1428,0.0271,0.1828,0.015,0.1439,0.1417,0.0171,0.1188,0.013,71.6048,41.2742,29.2582,0.4086,6.7545,5.1801,2.5026,0.3705,0.6346,0.7495,0.5367,0.8458,1.6603,1.6341,0.2113,0.1273,1.5841,1.5431,0.2595,0.1638,7.04,4.9048,3.9088,0.5552,14.4089,14.004,2.3893,0.1658,7.2315,7.1305,0.896,0.1239,16.7846,16.0759,3.4345,0.2046,29.3027,20.4487,16.4358,0.5609,1688.1694,1569.3326,428.4848,0.2538,4.2636,3.9295,0.9768,0.2291,24.1204,23.7342,2.5993,0.1078,196.1028,45.4835,173.5093,0.8848,6.24,4.4564,3.6197,0.5801,3638.59,3387.6954,968.5665,0.2662,1.64,0.08,4.52,0.2628,0.0128,0.7244,4.3702,4.3364,0.3901,0.0893,-28.9725,1.3524,0.2937,-39.1828,-8.51,-11.5091,0
3,32.7848,22.0542,11.2429,0.3429,0.1498,0.1452,0.0252,0.1681,0.0153,0.1445,0.1426,0.0162,0.1124,0.0131,73.7862,48.9734,26.4039,0.3578,7.0389,5.6854,2.3269,0.3306,0.704,0.6913,0.4962,0.7048,1.6539,1.6295,0.2029,0.1227,1.5973,1.5537,0.2668,0.167,7.4,5.3328,3.8419,0.5192,14.4429,14.046,2.3635,0.1636,7.1677,7.0858,0.7961,0.1111,16.8678,16.1343,3.4928,0.2071,29.1461,20.1051,16.5819,0.5689,1680.0742,1559.9771,432.7178,0.2576,4.3436,4.0902,0.8634,0.1988,24.4403,24.1912,2.0737,0.0848,204.1428,45.6918,178.0998,0.8724,6.6,4.807,3.6277,0.5496,3642.31,3393.1958,965.2895,0.265,1.6,0.08,4.92,0.2424,0.0121,0.7455,4.355,4.3245,0.369,0.0847,-27.5668,1.2996,0.2627,-35.8267,-7.2425,-9.4126,0
4,34.4,30.9415,8.681,0.2524,0.1525,0.1492,0.0222,0.1457,0.0158,0.1458,0.1443,0.0149,0.1025,0.0134,77.2581,68.0938,21.0894,0.273,7.4088,6.6191,1.9433,0.2623,0.7887,0.607,0.4018,0.5095,1.636,1.615,0.1868,0.1142,1.606,1.5591,0.2763,0.172,7.76,6.0054,3.6582,0.4714,14.754,14.3458,2.3762,0.1611,7.0472,6.9963,0.5966,0.0847,16.761,16.0216,3.5198,0.21,29.5484,19.931,16.8691,0.5709,1698.5964,1575.1568,435.6687,0.2565,4.48,4.3732,0.64,0.1429,25.0004,24.9896,0.519,0.0208,196.124,43.6521,181.066,0.9232,6.96,5.3467,3.5155,0.5051,3700.31,3454.8986,952.287,0.2574,1.6,0.08,5.28,0.2299,0.0115,0.7586,4.3364,4.3069,0.3636,0.0838,-27.6096,1.2498,0.2185,-34.5064,-6.0314,-7.5381,0
5,34.78,31.2355,8.7665,0.2521,0.1529,0.1498,0.0218,0.1422,0.0159,0.1462,0.1447,0.0146,0.0999,0.0135,78.3097,68.9333,21.2282,0.2711,7.472,6.6453,2.0379,0.2727,0.7784,0.6007,0.4012,0.5154,1.6368,1.6156,0.1877,0.1147,1.6116,1.5623,0.2853,0.177,7.78,6.0119,3.6731,0.4721,14.6682,14.2681,2.3588,0.1608,7.0629,7.0084,0.6198,0.0877,16.8277,16.069,3.5626,0.2117,29.6631,20.2239,16.7544,0.5648,1693.1868,1568.9179,438.6359,0.2591,4.5,4.3924,0.6403,0.1423,24.966,24.956,0.4979,0.0199,201.952,43.8677,182.907,0.9057,6.98,5.3519,3.5355,0.5065,3694.29,3446.7992,956.8274,0.259,1.54,0.08,5.36,0.2206,0.0115,0.7679,4.3244,4.2978,0.3421,0.0791,-29.0528,1.2015,0.2075,-34.9057,-6.0287,-7.2432,0
6,23.923,16.5009,17.3872,0.7268,0.1453,0.1434,0.0183,0.1259,0.0135,0.1539,0.1521,0.0161,0.1048,0.0158,53.4304,34.0187,43.6967,0.8178,4.6491,2.5792,3.5655,0.7669,0.1462,-2.2287,0.7335,5.0176,1.6866,1.6733,0.1418,0.0841,1.4739,1.4274,0.282,0.1913,4.765,2.7702,4.0447,0.8488,10.1674,9.9221,1.6927,0.1665,7.4951,7.4595,0.4746,0.0633,16.3429,15.8716,2.8756,0.176,133.065,36.3493,88.2023,0.6629,1116.0755,1068.3423,246.2907,0.2207,3.691,3.4829,1.0028,0.2717,26.1402,25.7272,3.8353,0.1467,214.129,67.0404,132.7071,0.6198,4.765,2.7702,4.0447,0.8488,2011.12,1737.9717,822.4222,0.4089,1.705,0.0,3.06,0.3578,0.0,0.6422,4.1212,4.0472,0.5713,0.1386,-7.7146,1.0687,0.2287,-8.2444,-1.7645,-1.8857,0
7,35.08,31.2036,10.1031,0.288,0.1528,0.1496,0.0219,0.1431,0.0159,0.1459,0.1444,0.0147,0.1009,0.0134,79.1975,68.8402,25.2149,0.3184,7.5468,6.6897,2.1078,0.2793,0.7868,0.5843,0.4111,0.5225,1.637,1.6157,0.1883,0.115,1.605,1.558,0.2765,0.1722,7.8,6.0185,3.6878,0.4728,14.7204,14.2592,2.6657,0.1811,7.0545,7.0033,0.5982,0.0848,16.8812,16.1275,3.55,0.2103,29.5509,20.0579,16.7827,0.5679,1691.3412,1563.101,451.352,0.2669,4.5,4.386,0.6708,0.1491,24.9426,24.9329,0.4908,0.0197,208.542,44.3347,184.019,0.8824,7.0,5.3571,3.5553,0.5079,3690.15,3438.4536,966.6875,0.262,1.56,0.08,5.36,0.2229,0.0114,0.7657,4.3086,4.2803,0.3487,0.0809,-25.4656,1.2074,0.212,-30.746,-5.3989,-6.5184,0
8,34.42,30.9651,8.6674,0.2518,0.1526,0.1494,0.022,0.1444,0.0158,0.1459,0.1444,0.0149,0.1018,0.0134,77.3552,68.2147,21.0147,0.2717,7.41,6.6198,1.9442,0.2624,0.7903,0.6074,0.4034,0.5105,1.6366,1.6154,0.1875,0.1146,1.6058,1.5589,0.276,0.1719,7.78,6.0119,3.6731,0.4721,14.6656,14.2664,2.3556,0.1606,7.0489,6.9977,0.5984,0.0849,16.8035,16.0513,3.5492,0.2112,29.57,19.9981,16.8458,0.5697,1691.1888,1567.3627,438.2443,0.2591,4.48,4.3732,0.64,0.1429,24.9678,24.9577,0.5017,0.0201,202.33,43.9796,182.657,0.9028,6.98,5.3519,3.5355,0.5065,3693.29,3445.6474,957.3317,0.2592,1.58,0.08,5.32,0.2264,0.0115,0.7622,4.3274,4.3,0.3486,0.0806,-26.656,1.2015,0.2158,-32.0261,-5.7524,-6.9113,0
9,34.38,30.918,8.6946,0.2529,0.1523,0.149,0.0224,0.147,0.0158,0.1458,0.1442,0.015,0.1031,0.0134,77.161,67.9734,21.1633,0.2743,7.4076,6.6185,1.9424,0.2622,0.7871,0.6066,0.4002,0.5084,1.6354,1.6145,0.1862,0.1139,1.6062,1.5592,0.2765,0.1721,7.74,5.9988,3.6431,0.4707,14.8424,14.426,2.3933,0.1612,7.0455,6.9949,0.5947,0.0844,16.7185,15.9921,3.4896,0.2087,29.5269,19.8643,16.8924,0.5721,1706.004,1583.0287,432.951,0.2538,4.48,4.3732,0.64,0.1429,25.033,25.0216,0.5338,0.0213,189.918,43.3293,179.2461,0.9438,6.94,5.3415,3.4952,0.5036,3707.33,3464.1997,947.1633,0.2555,1.62,0.08,5.24,0.2334,0.0115,0.755,4.3454,4.3138,0.3778,0.0869,-28.576,1.2864,0.2211,-36.7607,-6.3183,-8.1279,0
