,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
0,3,1,0,0,0,0,1,6,1,1,0
1,7,1,3,1,0,0,1,6,1,1,0
2,7,1,3,0,2,0,1,6,1,1,0
3,0,1,1,0,0,0,1,6,1,1,0
4,7,1,3,0,0,2,1,6,1,1,0
5,7,1,2,1,0,0,1,6,1,1,0
6,0,1,5,0,0,0,1,6,1,1,0
7,1,1,7,1,0,0,1,6,1,1,0
8,9,2,5,0,2,0,1,6,1,1,0
9,7,2,3,0,2,0,1,6,1,1,0
10,1,1,7,1,0,0,1,6,1,1,0
11,7,2,3,0,2,0,1,6,1,1,0
12,1,2,3,0,0,2,1,6,1,1,0
13,3,0,0,0,2,0,1,6,1,1,0
14,1,1,1,0,2,0,1,6,1,1,0
15,5,1,2,1,2,2,1,6,1,1,0
16,1,1,1,0,2,0,1,6,1,1,0
17,1,1,1,1,2,2,1,6,1,1,0
18,1,1,2,0,2,2,1,6,1,1,0
19,4,2,2,1,0,0,1,6,1,1,0
20,10,1,3,0,0,0,1,6,1,1,0
21,1,1,0,1,2,0,1,6,1,1,0
22,5,2,3,0,2,0,1,6,1,1,0
23,9,2,3,0,2,0,1,6,1,1,0
24,0,1,3,0,2,0,1,6,1,1,0
25,9,1,6,0,0,2,1,6,1,1,0
26,9,1,7,0,2,0,1,6,1,1,0
27,6,1,2,1,0,0,1,6,1,1,0
28,9,2,6,1,0,0,1,6,1,1,0
29,11,1,6,1,1,1,1,6,1,1,0
30,0,1,7,0,0,0,1,6,1,1,0
31,9,1,7,0,2,0,1,6,1,1,0
32,1,1,7,0,0,0,1,6,1,1,0
33,4,1,0,1,2,0,1,6,1,1,0
34,1,0,0,0,0,0,1,6,1,1,0
35,11,1,0,1,2,0,1,6,1,1,0
36,7,1,3,0,0,0,1,6,1,1,0
37,9,1,2,0,2,0,1,6,1,1,0
38,0,1,6,0,2,0,1,6,1,1,0
39,9,1,0,0,2,0,1,6,1,1,0
40,4,3,6,0,2,0,1,6,1,1,0
41,2,1,3,0,2,0,1,6,1,1,0
42,0,2,5,0,0,0,1,6,1,1,0
43,0,1,6,0,0,2,1,6,1,1,0
44,0,1,6,1,2,0,1,6,1,1,0
45,9,2,5,1,0,0,1,6,1,1,0
46,0,1,6,0,2,2,1,6,1,1,0
47,1,1,2,0,0,2,1,6,1,1,0
48,0,1,6,0,2,0,1,6,1,1,0
49,1,1,2,0,2,0,1,6,1,1,0
50,0,1,3,0,0,0,1,6,1,1,0
51,3,1,0,0,0,2,1,6,1,1,0
52,0,1,3,0,0,0,1,6,1,1,0
53,0,2,5,0,0,0,1,6,1,1,0
54,1,1,0,1,0,0,1,6,1,1,0
55,9,1,5,1,2,0,1,6,1,1,0
56,4,1,6,1,0,2,1,6,1,1,0
57,7,1,3,1,2,0,1,6,1,1,0
58,10,1,5,1,2,2,1,6,1,1,0
59,9,2,6,0,2,0,1,6,1,1,0
60,2,1,6,1,0,0,1,6,1,1,0
61,1,1,2,0,2,0,1,6,1,1,0
62,1,1,1,1,2,0,1,6,1,1,0
63,1,1,1,1,0,0,1,6,1,1,0
64,0,1,3,0,0,0,1,6,1,1,0
65,0,1,6,0,0,0,1,6,1,1,0
66,1,2,2,0,2,0,1,6,1,1,0
67,0,1,7,0,2,0,1,6,1,1,0
68,0,1,2,0,2,0,1,6,1,1,0
69,1,2,0,1,2,2,1,6,1,1,0
70,4,1,1,0,0,0,1,6,1,1,0
71,4,0,6,0,2,0,1,6,1,1,0
72,0,1,6,1,2,0,1,6,1,1,0
73,11,1,7,1,0,0,1,6,1,1,0
74,0,1,6,1,2,0,1,6,1,1,0
75,1,0,0,1,2,0,1,6,1,1,1
76,9,1,6,0,0,0,1,6,1,1,0
77,7,1,3,1,2,0,1,6,1,1,0
78,4,1,7,1,2,0,1,6,1,1,0
79,1,1,2,1,0,0,1,6,1,1,0
80,1,1,0,1,2,0,1,6,1,1,0
81,1,1,0,1,1,1,1,6,1,1,0
82,0,1,3,1,0,0,1,6,1,1,0
83,2,1,6,1,2,0,1,6,1,1,1
84,9,2,6,0,0,2,1,6,1,1,0
85,0,0,3,0,0,0,1,6,1,1,0
86,4,1,1,0,0,0,1,6,1,1,0
87,0,1,6,0,2,2,1,6,1,1,0
88,9,1,2,0,0,0,1,6,1,1,1
89,0,1,3,0,2,0,1,6,1,1,0
90,0,1,6,0,2,0,1,6,1,1,0
91,11,1,7,1,2,0,1,6,1,1,0
92,0,1,7,1,0,2,1,6,1,1,0
93,10,1,2,0,0,0,1,6,1,1,0
94,1,1,1,0,0,2,1,6,1,1,0
95,7,1,5,0,2,0,1,6,1,1,0
96,4,1,6,0,0,0,1,6,1,1,0
97,0,0,6,1,0,0,1,6,1,1,0
98,9,2,5,0,0,0,1,6,1,1,0
99,1,1,1,0,0,0,1,6,1,1,0
100,7,1,7,0,2,0,1,6,1,1,0
101,1,1,0,0,0,0,1,6,1,1,0
102,7,1,7,0,0,0,1,6,1,1,0
103,0,0,6,0,0,0,1,6,1,1,0
104,0,0,6,0,0,0,1,6,1,1,0
105,7,2,3,1,0,0,1,6,1,1,0
106,3,1,1,0,2,0,1,6,1,1,0
107,0,1,3,0,2,0,1,6,1,1,0
108,2,1,7,1,2,0,1,6,1,1,0
109,9,1,7,1,2,2,1,6,1,1,0
110,5,0,6,1,0,0,1,6,1,1,0
111,10,1,0,1,0,0,1,6,1,1,0
112,7,0,3,0,2,0,1,6,1,1,0
113,1,1,2,1,2,0,1,6,1,1,0
114,4,1,6,0,0,0,1,6,1,1,0
115,1,1,3,0,0,0,1,6,1,1,0
116,0,0,6,0,0,0,1,6,1,1,0
117,1,0,7,1,2,0,1,6,1,1,0
118,0,1,7,0,2,0,1,6,1,1,0
119,1,0,0,1,2,0,1,6,1,1,0
120,1,1,3,1,2,0,1,6,1,1,0
121,1,0,3,0,0,0,1,6,1,1,0
122,7,1,3,0,0,0,1,6,1,1,0
123,9,1,3,0,2,0,1,6,1,1,0
124,0,1,6,0,2,2,1,6,1,1,0
125,0,1,6,0,0,2,1,6,1,1,0
126,0,1,1,0,0,0,1,6,1,1,0
127,9,0,5,0,2,2,1,6,1,1,0
128,5,1,0,0,2,0,1,6,1,1,0
129,9,1,5,1,2,0,1,6,1,1,1
130,1,1,1,0,2,2,1,6,1,1,0
131,9,1,5,1,0,0,1,6,1,1,0
132,1,1,7,0,2,0,1,6,1,1,0
133,1,1,1,0,2,0,1,6,1,1,0
134,4,1,6,0,0,0,1,6,1,1,0
135,4,0,6,0,0,0,1,6,1,1,0
136,3,1,0,1,0,0,1,6,1,1,0
137,1,1,0,1,0,0,1,6,1,1,0
138,7,1,3,0,2,0,1,6,1,1,0
139,1,1,2,1,2,0,1,6,1,1,1
140,10,2,6,0,2,0,1,6,1,1,0
141,4,1,7,0,2,0,1,6,1,1,0
142,4,1,6,0,2,0,1,6,1,1,0
143,1,1,0,0,2,0,1,6,1,1,0
144,11,0,3,1,2,0,1,6,1,1,0
145,1,1,0,1,2,0,1,6,1,1,0
146,1,1,0,1,0,0,1,6,1,1,0
147,0,2,3,0,2,0,1,6,1,1,0
148,0,1,6,1,2,0,1,6,1,1,0
149,1,1,0,0,2,0,1,6,1,1,0
150,1,1,2,1,0,0,1,6,1,1,0
151,2,1,7,1,2,0,1,6,1,1,0
152,7,0,3,1,2,0,1,6,1,1,0
153,2,1,7,1,0,0,1,6,1,1,0
154,1,1,7,0,2,2,1,6,1,1,0
155,1,1,2,0,2,2,1,6,1,1,0
156,1,1,7,1,2,0,1,6,1,1,0
157,1,1,7,1,0,0,1,6,1,1,0
158,9,2,5,0,2,0,1,6,1,1,0
159,7,1,3,0,0,0,1,6,1,1,0
160,4,2,6,0,2,0,1,6,1,1,0
161,1,2,2,1,2,2,1,6,1,1,0
162,1,1,2,1,0,0,1,6,1,1,0
163,1,1,2,1,0,0,1,6,1,1,0
164,7,0,3,1,0,0,1,6,1,1,0
165,2,1,1,0,0,0,1,6,1,1,0
166,7,1,3,0,2,2,1,6,1,1,0
167,0,0,7,1,0,0,1,6,1,1,0
168,1,1,7,0,0,0,1,6,1,1,0
169,4,0,6,0,2,0,1,6,1,1,0
170,1,1,3,1,0,2,1,6,1,1,0
171,7,1,3,1,0,0,1,6,1,1,0
172,9,1,6,0,2,2,1,6,1,1,0
173,0,2,6,1,0,0,1,6,1,1,0
174,7,1,3,0,0,0,1,6,1,1,0
175,4,1,2,0,0,0,1,6,1,1,0
176,7,1,3,0,2,2,1,6,1,1,0
177,0,2,1,0,0,0,1,6,1,1,0
178,7,1,3,0,2,0,1,6,1,1,0
179,1,1,2,0,0,0,1,6,1,1,0
180,9,1,3,0,0,0,1,6,1,1,0
181,1,1,1,1,2,0,1,6,1,1,0
182,1,1,2,0,2,2,1,6,1,1,1
183,0,1,6,0,2,0,1,6,1,1,0
184,1,1,0,1,0,0,1,6,1,1,0
185,4,1,6,0,0,0,1,6,1,1,0
186,9,1,1,1,0,0,1,6,1,1,0
187,5,1,3,1,0,0,1,6,1,1,0
188,1,1,0,1,0,0,1,6,1,1,0
189,0,1,6,0,2,0,1,6,1,1,0
190,9,1,5,0,0,0,1,6,1,1,0
191,1,2,2,0,2,0,1,6,1,1,0
192,4,0,6,0,0,0,1,6,1,1,0
193,9,1,6,0,0,0,1,6,1,1,0
194,1,2,2,1,2,0,1,6,1,1,0
195,1,1,0,0,2,0,1,6,1,1,0
196,0,1,3,1,2,0,1,6,1,1,0
197,1,2,2,1,0,0,1,6,1,1,0
198,0,1,2,1,2,0,1,6,1,1,0
199,1,1,1,0,2,0,1,6,1,1,0
200,7,1,3,0,0,0,1,6,1,1,0
201,7,2,1,0,0,0,1,6,1,1,0
202,1,1,3,0,2,0,1,6,1,1,0
203,0,1,7,0,0,0,1,6,1,1,0
204,1,1,2,0,2,0,1,6,1,1,0
205,8,2,6,1,0,0,1,6,1,1,0
206,8,2,6,1,2,2,1,6,1,1,0
207,10,1,5,0,0,0,1,6,1,1,0
208,7,2,0,0,0,0,1,6,1,1,0
209,8,2,6,1,2,0,1,6,1,1,0
210,8,2,2,0,2,0,1,6,1,1,0
211,3,0,6,0,0,0,1,6,1,1,0
212,0,1,6,0,0,0,1,6,1,1,0
213,5,1,7,1,0,0,1,6,1,1,0
214,1,1,5,1,2,0,1,6,1,1,0
215,3,1,0,1,2,0,1,6,1,1,0
216,1,2,7,0,2,0,1,6,1,1,0
217,1,2,7,0,2,2,1,6,1,1,0
218,3,1,0,1,0,0,1,6,1,1,0
219,7,1,3,0,0,0,1,6,1,1,0
220,0,1,3,0,2,0,1,6,1,1,0
221,9,1,7,1,0,0,1,6,1,1,0
222,7,2,1,1,2,0,1,6,1,1,0
223,9,1,0,1,2,0,1,6,1,1,0
224,9,1,2,0,0,0,1,6,1,1,0
225,5,1,6,0,0,0,1,6,1,1,0
226,9,1,6,0,0,0,1,6,1,1,0
227,0,2,6,0,0,0,1,6,1,1,0
228,5,1,0,1,0,0,1,6,1,1,0
229,1,1,0,0,2,2,1,6,1,1,0
230,0,1,5,0,2,0,1,6,1,1,0
231,7,0,5,0,2,0,1,6,1,1,0
232,4,0,0,1,2,0,1,6,1,1,0
233,0,1,3,1,0,0,1,6,1,1,0
234,6,1,6,1,0,0,1,6,1,1,0
235,0,1,5,0,2,0,1,6,1,1,0
236,1,1,0,0,0,0,1,6,1,1,0
237,0,1,3,0,0,0,1,6,1,1,0
238,7,1,3,1,0,2,1,6,1,1,0
239,4,1,6,1,0,2,1,6,1,1,0
240,5,1,3,0,0,0,1,6,1,1,0
241,9,2,5,0,0,0,1,6,1,1,0
242,4,1,6,0,2,0,1,6,1,1,0
243,7,2,2,0,0,0,1,6,1,1,0
244,9,1,6,1,0,0,1,6,1,1,0
245,7,0,7,0,0,0,1,6,1,1,0
246,9,2,5,0,0,0,1,6,1,1,0
247,9,2,3,0,2,0,1,6,1,1,0
248,1,2,3,0,0,2,1,6,1,1,0
249,7,2,3,0,0,0,1,6,1,1,0
250,9,0,5,0,0,0,1,6,1,1,0
251,1,1,0,0,2,0,1,6,1,1,0
252,7,1,1,0,2,0,1,6,1,1,0
253,9,1,5,0,2,0,1,6,1,1,0
254,7,1,7,0,0,0,1,6,1,1,0
255,7,1,3,0,2,2,1,6,1,1,0
256,1,1,2,1,2,0,1,6,1,1,0
257,4,1,2,0,0,2,1,6,1,1,0
258,9,1,7,0,2,0,1,6,1,1,0
259,0,1,3,0,0,2,1,6,1,1,0
260,0,1,3,0,0,2,1,6,1,1,0
261,1,2,1,0,1,1,1,6,1,1,0
262,9,1,3,0,0,0,1,6,1,1,0
263,0,0,2,0,0,0,1,6,1,1,0
264,0,1,6,0,0,0,1,6,1,1,0
265,1,2,1,0,0,0,1,6,1,1,0
266,6,2,6,0,2,0,1,6,1,1,0
267,8,2,6,1,0,0,1,6,1,1,0
268,4,0,6,0,0,0,1,6,1,1,0
269,6,1,0,1,0,0,1,6,1,1,0
270,10,1,3,1,2,0,1,6,1,1,0
271,4,0,6,0,0,0,1,6,1,1,0
272,3,1,2,1,0,0,1,6,1,1,0
273,0,2,3,0,0,0,1,6,1,1,0
274,3,2,3,1,2,2,1,6,1,1,0
275,1,1,2,1,0,0,1,6,1,1,0
276,7,1,3,0,0,0,1,6,1,1,0
277,1,1,0,1,0,0,1,6,1,1,0
278,9,2,2,0,0,0,1,6,1,1,0
279,5,1,5,0,0,0,1,6,1,1,0
280,1,1,1,0,0,0,1,6,1,1,0
281,9,1,0,0,2,0,1,6,1,1,0
282,0,1,2,0,0,0,1,6,1,1,0
283,1,1,2,0,2,0,1,6,1,1,0
284,1,0,2,0,2,0,1,6,1,1,0
285,1,0,1,0,0,0,1,6,1,1,0
286,3,1,2,0,2,0,1,6,1,1,1
287,0,2,3,0,2,2,1,6,1,1,0
288,1,1,7,1,2,0,1,6,1,1,0
289,7,1,3,0,0,0,1,6,1,1,0
290,4,0,6,0,2,0,1,6,1,1,0
291,0,1,3,0,2,2,1,6,1,1,0
292,9,0,5,1,0,2,1,6,1,1,0
293,1,1,0,0,2,0,1,6,1,1,0
294,9,2,5,0,2,0,1,6,1,1,0
295,6,1,5,0,0,0,1,6,1,1,0
296,1,0,3,0,0,2,1,6,1,1,0
297,0,1,6,0,2,0,1,6,1,1,0
298,7,0,3,0,0,0,1,6,1,1,0
299,11,1,7,1,0,0,1,6,1,1,0
300,7,2,3,1,0,0,1,6,1,1,0
301,1,0,3,1,0,2,1,6,1,1,0
302,5,1,5,1,0,0,1,6,1,1,0
303,11,1,7,0,2,0,1,6,1,1,0
304,0,1,3,0,2,0,1,6,1,1,0
305,0,1,1,1,2,0,1,6,1,1,0
306,1,1,7,1,0,0,1,6,1,1,0
307,3,0,0,0,2,2,1,6,1,1,0
308,0,1,6,0,2,0,1,6,1,1,0
309,1,1,0,0,2,0,1,6,1,1,0
310,4,0,6,0,2,0,1,6,1,1,0
311,0,2,6,0,0,0,1,6,1,1,0
312,0,1,3,0,0,0,1,6,1,1,0
313,1,1,5,1,2,0,1,6,1,1,0
314,4,1,6,1,2,0,1,6,1,1,0
315,0,2,2,1,0,0,1,6,1,1,0
316,0,0,3,0,0,0,1,6,1,1,0
317,5,1,1,0,0,0,1,6,1,1,0
318,1,1,2,0,0,0,1,6,1,1,0
319,7,1,3,0,2,0,1,6,1,1,0
320,4,2,2,0,2,0,1,6,1,1,0
321,0,2,1,0,2,2,1,6,1,1,0
322,9,2,7,0,0,0,1,6,1,1,0
323,7,1,1,1,0,0,1,6,1,1,0
324,9,1,5,0,2,2,1,6,1,1,0
325,3,2,5,0,0,0,1,6,1,1,0
326,0,2,6,0,2,0,1,6,1,1,0
327,0,1,3,0,0,0,1,6,1,1,0
328,1,1,2,1,0,0,1,6,1,1,0
329,0,1,3,0,0,0,1,6,1,1,0
330,7,2,3,0,2,0,1,6,1,1,0
331,1,1,2,0,2,0,1,6,1,1,0
332,4,1,3,0,2,0,1,6,1,1,0
333,6,2,6,0,0,2,1,6,1,1,0
334,7,1,3,1,2,0,1,6,1,1,0
335,2,1,3,0,2,0,1,6,1,1,0
336,9,2,5,1,2,0,1,6,1,1,0
337,1,2,3,0,2,2,1,6,1,1,0
338,1,1,2,1,2,0,1,6,1,1,0
339,4,1,6,1,0,0,1,6,1,1,0
340,4,1,5,1,2,0,1,6,1,1,0
341,7,2,3,0,2,0,1,6,1,1,0
342,0,1,2,0,0,0,1,6,1,1,0
343,11,1,7,1,2,0,1,6,1,1,0
344,1,0,0,0,2,0,1,6,1,1,0
345,9,1,3,0,2,0,1,6,1,1,0
346,7,0,5,0,0,0,1,6,1,1,0
347,1,2,2,1,2,0,1,6,1,1,0
348,2,1,6,0,2,0,1,6,1,1,0
349,1,1,0,0,0,0,1,6,1,1,0
350,1,1,1,1,0,0,1,6,1,1,0
351,9,1,5,0,0,0,1,6,1,1,0
352,4,1,6,0,0,0,1,6,1,1,0
353,7,1,3,0,2,0,1,6,1,1,0
354,0,1,6,0,2,0,1,6,1,1,0
355,10,2,6,0,0,0,1,6,1,1,0
356,1,2,3,0,0,0,1,6,1,1,0
357,1,1,2,0,0,0,1,6,1,1,0
358,7,1,0,0,0,0,1,6,1,1,0
359,2,1,0,0,2,0,1,6,1,1,0
360,10,0,3,1,0,0,1,6,3,1,0
361,4,1,6,0,2,0,1,6,3,1,0
362,9,1,3,0,2,0,1,6,3,1,0
363,1,1,0,1,2,0,1,6,3,1,0
364,0,1,6,0,2,0,1,6,3,1,0
365,9,1,6,0,0,0,1,6,3,1,0
366,6,1,3,0,2,0,1,6,3,1,0
367,0,0,2,0,0,0,1,6,3,1,0
368,1,1,2,1,2,0,1,6,3,1,0
369,4,0,3,0,0,0,1,6,3,1,0
370,1,1,2,0,0,0,1,6,3,1,0
371,1,1,2,0,0,2,1,6,3,1,0
372,0,2,3,0,2,0,1,6,3,1,0
373,1,2,2,0,2,0,1,6,3,1,0
374,7,1,3,0,0,0,1,6,3,1,0
375,1,1,7,0,0,0,1,6,3,1,0
376,9,1,1,0,2,0,1,6,3,1,0
377,0,2,6,0,0,0,1,6,3,1,0
378,0,1,2,0,0,0,1,6,3,1,0
379,0,1,6,0,2,2,1,6,3,1,0
380,1,2,7,0,0,0,1,6,3,1,0
381,0,1,2,0,2,0,1,6,3,1,0
382,4,2,6,0,0,0,1,6,3,1,0
383,8,2,7,1,0,0,1,6,3,1,0
384,4,1,0,1,2,2,1,6,3,1,0
385,4,1,0,1,1,1,1,6,3,1,0
386,6,1,6,0,0,0,1,6,3,1,0
387,3,1,1,1,2,2,1,6,3,1,0
388,11,2,7,1,2,2,1,6,3,1,1
389,7,1,3,0,2,0,1,6,3,1,1
390,5,3,6,1,0,0,1,6,3,1,0
391,4,1,3,1,0,0,1,6,3,1,0
392,0,1,6,0,0,0,1,6,3,1,0
393,0,1,3,0,0,0,1,6,3,1,0
394,0,1,2,0,0,0,1,6,3,1,0
395,9,1,5,0,0,0,1,6,3,1,0
396,7,1,3,1,0,0,1,6,3,1,0
397,1,0,0,0,0,0,1,6,3,1,0
398,6,1,6,0,2,2,1,6,3,1,0
399,1,1,2,1,0,0,1,6,3,1,0
400,7,2,3,0,0,0,1,6,3,1,0
401,7,1,3,1,1,1,1,6,3,1,0
402,1,1,3,1,2,0,1,6,3,1,0
403,10,1,6,1,2,0,1,6,3,1,0
404,1,1,0,1,0,0,1,6,3,1,0
405,2,1,6,0,2,0,1,6,3,1,0
406,7,0,1,0,0,0,1,6,3,1,0
407,0,1,3,0,2,0,1,6,3,1,0
408,7,1,3,0,0,2,1,6,3,1,0
409,1,1,2,1,2,0,1,6,3,1,0
410,0,1,3,0,0,0,1,6,3,1,0
411,9,1,0,0,0,2,1,6,3,1,0
412,1,1,2,0,0,0,1,6,3,1,0
413,5,3,0,0,0,0,1,6,3,1,0
414,2,1,0,1,2,0,1,6,3,1,0
415,1,1,0,1,2,2,1,6,3,1,0
416,6,2,2,1,2,2,1,6,3,1,0
417,0,1,3,1,0,0,1,6,3,1,0
418,7,1,3,0,2,0,1,6,3,1,0
419,9,2,6,0,2,0,1,6,3,1,0
420,1,1,0,1,2,0,1,6,3,1,0
421,2,1,0,0,0,0,1,6,3,1,0
422,1,1,0,1,0,0,1,6,3,1,0
423,4,1,6,1,0,0,1,6,3,1,0
424,1,1,0,1,2,0,1,6,3,1,0
425,1,1,2,0,0,0,1,6,3,1,0
426,4,1,1,0,0,0,1,6,3,1,0
427,9,1,5,0,2,0,1,6,3,1,0
428,11,1,7,1,2,0,1,6,3,1,0
429,7,1,3,1,0,0,1,6,3,1,0
430,6,0,6,0,0,0,1,6,3,1,0
431,6,1,2,1,0,0,1,6,3,1,0
432,6,2,6,0,2,0,1,6,3,1,0
433,7,2,5,0,2,2,1,6,3,1,0
434,7,1,7,1,0,0,1,6,3,1,0
435,9,1,5,0,2,0,1,6,3,1,0
436,3,1,2,0,2,0,1,6,3,1,0
437,1,1,5,0,0,0,1,6,3,1,0
438,0,0,6,0,0,0,1,6,3,1,0
439,4,1,7,0,2,0,1,6,3,1,0
440,9,1,5,1,0,2,1,6,3,1,0
441,3,1,6,0,0,0,1,6,3,1,0
