,White_King_file,White_King_rank,White_Rook_file,White_Rook_rank,Black_King_file,Black_King_rank,class
0,3,4,7,7,6,7,0
1,3,4,5,5,0,1,0
2,3,1,0,7,3,5,0
3,3,1,4,8,5,4,0
4,2,2,2,4,5,5,0
5,3,1,2,6,7,3,0
6,0,1,3,8,2,1,0
7,3,1,0,1,7,2,0
8,3,2,2,6,2,8,0
9,2,2,4,8,3,7,0
10,2,2,4,2,1,7,0
11,1,1,7,5,6,7,0
12,3,1,3,7,2,8,0
13,3,1,1,7,6,3,0
14,2,1,0,1,4,2,0
15,2,2,7,8,4,6,0
16,3,1,6,1,6,8,0
17,1,1,1,6,5,7,0
18,3,4,6,3,5,3,0
19,2,1,3,3,5,3,0
20,3,1,5,3,4,5,0
21,3,2,0,1,1,7,0
22,3,1,4,3,4,6,0
23,2,3,3,4,5,4,0
24,1,1,1,8,7,6,0
25,3,3,2,2,0,2,0
26,3,1,5,2,2,8,0
27,3,2,7,6,1,5,0
28,2,1,1,8,4,5,0
29,2,1,4,7,4,4,0
30,3,3,6,1,6,4,0
31,3,3,6,4,2,1,0
32,3,4,1,2,4,1,0
33,2,2,7,7,7,6,0
34,3,2,3,4,7,2,0
35,3,3,1,4,0,1,0
36,2,1,3,3,3,6,0
37,3,3,4,5,1,3,0
38,2,2,4,7,2,4,0
39,0,1,4,8,4,3,0
40,2,2,5,2,4,1,0
41,1,2,7,5,3,2,0
42,2,1,0,3,6,6,0
43,2,2,6,5,6,7,0
44,2,1,4,5,3,6,0
45,2,1,5,6,5,1,0
46,2,1,2,6,6,8,0
47,0,1,0,4,2,2,0
48,3,2,7,1,1,2,0
49,1,1,1,7,7,1,0
50,0,1,7,1,7,7,0
51,3,2,7,8,2,8,0
52,3,1,7,3,5,7,0
53,3,1,4,8,1,8,0
54,3,3,2,7,6,3,0
55,2,1,4,2,7,4,0
56,3,2,2,3,1,1,0
57,2,1,4,4,7,1,0
58,3,2,0,5,5,8,0
59,3,3,6,7,5,2,0
60,0,1,2,7,3,3,0
61,1,1,6,4,1,7,0
62,2,1,2,8,0,8,0
63,3,3,1,2,7,6,0
64,3,3,1,6,6,8,0
65,2,2,7,3,2,5,0
66,3,1,1,3,6,6,0
67,3,2,2,3,3,4,0
68,1,1,7,4,6,3,0
69,3,2,7,7,5,5,0
70,1,1,4,8,4,2,0
71,3,2,0,1,1,8,0
72,1,1,3,6,5,2,0
73,1,1,4,2,5,5,0
74,3,1,1,5,3,6,0
75,1,1,0,2,7,5,0
76,2,1,7,4,7,2,0
77,3,2,5,5,2,7,0
78,3,2,4,4,0,5,0
79,1,2,6,2,4,5,0
80,0,1,3,2,6,3,0
81,2,1,2,6,0,2,0
82,1,1,5,5,7,7,0
83,2,3,4,6,5,5,0
84,1,1,3,8,5,1,0
85,2,1,0,7,2,4,0
86,2,1,3,5,1,8,0
87,3,1,1,8,3,5,0
88,3,1,2,7,7,2,0
89,2,1,2,7,0,2,0
90,3,1,4,2,6,2,0
91,2,1,0,7,0,5,0
92,2,3,6,4,6,1,0
93,1,1,5,2,5,4,0
94,1,1,6,2,5,6,0
95,3,1,0,7,6,2,0
96,3,4,3,7,6,6,0
97,2,2,5,4,1,6,0
98,1,2,6,5,6,1,0
99,3,3,5,5,0,4,0
100,3,4,4,3,7,8,0
101,2,2,0,7,4,8,0
102,2,2,5,2,6,1,0
103,1,1,5,2,4,1,0
104,3,1,0,2,3,8,0
105,3,2,1,3,3,7,0
106,1,2,2,4,7,3,0
107,3,1,3,8,1,1,0
108,3,2,6,8,6,4,0
109,1,1,2,2,4,5,0
110,1,2,5,7,7,5,0
111,3,3,3,5,4,7,0
112,3,1,4,8,6,6,0
113,1,1,5,6,4,3,0
114,3,1,4,5,1,1,0
115,1,1,0,7,1,4,0
116,1,1,0,4,3,5,0
117,2,2,6,1,4,3,0
118,1,1,5,1,0,4,0
119,3,1,7,4,0,3,0
120,2,2,1,7,0,8,0
121,2,1,7,8,4,6,0
